,Euclidean,LDA,LLDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML,GMML
appendicitis,0.8616969951474431,0.8648439249720046,0.8522340425531916,0.8647888671145951,0.8575083986562151,0.8836821108622621,0.8711492161254201,0.8868180757745427,0.8742627846211274,0.8742847144456889,0.8847898002986188,0.8689886618141097
balance,0.8392870925470157,0.8929805772526548,0.8483649738350516,0.9121765363991964,0.8544069170434112,0.9575073455950884,0.8551145644807561,0.930843745595714,0.9029333286875444,0.908626965051384,0.8975974638460477,0.8492464608805601
banana,0.8778792789922152,0.6745280541470035,0.8786142410574487,0.8710657444388896,0.8781931953654208,0.8763057415821077,0.8725321525301748,0.8758875526719152,0.6575416293545321,0.6371076182680212,0.6368999522038423,0.8760989545277246
bupa,0.6070749922207239,0.6463769318535422,0.637985686132144,0.6344549320609896,0.6402541230162846,0.7078881858728348,0.6260854683124156,0.6457390312208278,0.6083777616429831,0.5826065760813193,0.6087169380769629,0.6270666943263146
cleveland,0.5518832815915442,0.5996615959758594,0.5559697269256129,0.5817000717075068,0.5514819545022535,0.6401228339058097,0.5653446656836028,0.5660586116355257,0.5993586022749013,0.6116556299846112,0.5944489497416321,0.5575084885729721
digits,0.9877581316775228,0.9768750106681244,0.9873845443155892,0.9792238161633738,0.9844189099307062,0.9970941794078468,0.9993197260908624,0.9237047666606442,0.8344190141237325,0.9741568313632896,0.9761960775081788,0.9877571381911808
glass,0.6546725835021456,0.6327940445343417,0.6643917414750369,0.6214237965052768,0.7023177275229723,0.6998072185353986,0.6562196918270431,0.6314219921129353,0.6261873116903222,0.6443741891157674,0.6386525626726505,0.6837327488456333
hepatitis,0.8446387227474436,0.943088247904474,0.8764325680108046,0.8834156001457757,0.8890113512122966,0.9500326923489184,0.947216326880614,0.8902654511544151,0.9014172937166376,0.909693013484254,0.9374544450875726,0.843269395673891
ionosphere,0.8486817309148899,0.8929959358791766,0.8474088757812753,0.8632458267018823,0.8550078880199073,0.9404897734626602,0.9129448586526412,0.8860388766242698,0.8949017150818053,0.9053418342672824,0.89742035128151,0.8768385361305538
iris,0.9562962962962964,0.9644444444444444,0.96,0.9674074074074072,0.9688888888888892,0.9725925925925928,0.9555555555555556,0.9644444444444442,0.9585185185185184,0.9592592592592594,0.9807407407407408,0.9555555555555556
letter,0.7092240273126077,0.7977304872091849,0.8016437170221492,0.7184861747927644,0.8086212722988451,0.839321982376221,0.7251965473092861,0.550531032666244,0.33770653052112765,0.7563234112290343,0.6078339650511513,0.7325577312315048
magic,0.8137448314123391,0.76002696870743,0.8211008260693934,0.8147360832275643,0.8215104543096141,0.8440479444212853,0.8059210696129109,0.8010207657242404,0.7653996761782234,0.7825657887512081,0.7215544333838444,0.8187661159919347
monk-2,0.9544740847805804,0.8939356762461207,0.9547324860847508,0.933643447516185,0.96167536475927,1.0,0.970425010549835,1.0,0.966525281889552,0.9652782913956156,0.915769353086158,0.9392626090064672
movement_libras,0.7420555786749379,0.8584014459133652,0.8012098268734258,0.7814621913302476,0.7746794845641725,0.8075210262381788,0.7398717730262249,0.7042221159850609,0.7532516011172181,0.7732890369169336,0.6870706830713483,0.7392268862575991
newthyroid,0.9354094332567704,0.9596923241279848,0.9302387692965122,0.9436648683296832,0.9364430318893222,0.9772688424763636,0.9653757812082688,0.9695235297259762,0.9684845894984242,0.9638240478606912,0.9596976657229848,0.948838203087442
optdigits,0.9753499045629546,0.966678128449279,0.978799983039846,0.9719013978798624,0.9779149243118213,0.9934956151256664,0.9983234473557508,0.9397649620723488,0.8256789218080218,0.9785014056758649,0.9610538080573464,0.9749562207309534
page-blocks,0.9487824586409264,0.9703101047473348,0.950210301946904,0.9624535675051226,0.9504167844815172,0.9652051335908544,0.9481700035824095,,0.9494937225359112,0.9636784754958824,0.9468463858816344,0.9546000486822528
phoneme,0.8139580279758896,0.741910537278596,0.8137544849337222,0.7942253313588278,0.8148851156898107,0.8130350613417547,0.8097445700860298,0.7703783639320629,0.7445728655496775,0.7759294820697444,0.7442703497208969,0.8109801931712781
pima,0.7368342353797379,0.7424767656826414,0.7390058389031562,0.7232341082288383,0.7385708489832111,0.7798041290581633,0.7310469872765447,0.7336521168115239,0.7348067222673013,0.7364009184979463,0.7384313594271517,0.7356773294964991
ring,0.6090846281618665,0.7422656027903931,0.6034546162091995,0.7093058298857683,0.6139642841988883,0.9127629613862742,0.6421197572357263,0.8213215432600339,0.7485012331896573,0.8274773069506878,0.5659159142656567,0.6568308709154871
satimage,0.8655310478386724,0.8599307777884764,0.8656148746805649,0.8531176686772735,0.8670826235998395,0.8775934250307312,0.8648410178131771,0.8534618292809368,0.8267387925071233,0.832941675810833,0.5749474797735006,0.8659552408313014
segment,0.8852905569007262,0.9312187247780468,0.8891041162227603,0.9268442292171104,0.9011622276029054,0.9319330104923326,0.9186924939467314,0.8853268765133171,0.9052663438256658,0.9285633575464084,0.8696368038740921,0.9016424535916062
sonar,0.8184056744929207,0.9017032532111864,0.8953203662447071,0.8215941358761013,0.8857002949679279,0.9609908585634293,0.9337548340606598,0.8419095166612225,0.8520530000232449,0.8755427727963963,0.8846307456657087,0.8028774665790694
spambase,0.8579718516132114,0.9270593959513528,0.853138591492686,0.8845396168665959,0.8652205819452847,0.9446870332155024,0.9297117303829489,0.9301977379990538,0.9137737531168292,0.9330927964939028,0.9275366278955876,0.8802040304954243
texture,0.9473737373737376,0.9983838383838384,,0.9787878787878788,0.9884848484848486,0.9807070707070707,0.9343434343434344,0.931010101010101,0.8945454545454545,0.9742424242424242,0.8594949494949494,0.9539393939393941
thyroid,0.931328457077816,0.9407441933634056,0.9319445500947534,0.9404351332924016,0.9363440734439604,0.9491546356986836,0.933641904415354,0.9388905512491424,0.946377630207192,0.9416698815991241,0.9614952634493156,0.938352096037392
titanic,0.7594774316845084,0.7739772921948402,0.772327416093037,0.7717300105116321,0.7591631230138106,0.7658334573676967,0.7789398829400449,,0.7797639056601444,0.7821739388961352,0.7805021988738797,0.6773411826402327
twonorm,0.9663892324432458,0.9780179279053998,0.967589419877492,0.970965827042346,0.9674393823681148,0.9826693722980296,0.979068303111814,0.9785428339066748,0.9792182279804186,0.9720124287828714,0.9805687345259738,0.9735162394202156
vehicle,0.7139408993023619,0.7759342896229402,0.7442793527939162,0.76134873187436,0.7760627793914979,0.8078485904197436,0.6908313059125839,0.6667949884924103,0.6728415590005802,0.7421751274988488,0.7244416653472056,0.7304889496352365
vowel,0.9368125701459036,0.9332210998877664,0.942199775533109,0.8966329966329967,0.9482603815937148,0.9534231200897868,0.9325476992143658,0.9132435465768796,0.6901234567901234,0.8112233445566779,0.8498316498316498,0.9393939393939394
