,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
1,0.8369508662435121,0.9215014981496678,0.8567792776890627,0.6995208683278575,0.942029,0.9340629999
2,0.8316380291140348,,0.8869609271912366,0.7724911873341702,0.9420294350719368,0.938651
3,0.8487930991960966,,0.8973380823712438,0.8886628438165759,0.9388899148547024,0.9335829999999999
5,0.8784986329146462,,0.9079672939573854,0.9009776129467866,0.9415416813409374,0.93358
10,0.8681168101539048,,0.922219705223674,0.9195632711567048,0.940098234817362,0.931892658890466
20,0.8700526638962771,,0.9067706654952618,0.921747697531185,0.9400964830652928,0.9297187402098128
30,0.8586970713326689,,0.8787512657219043,0.8867176323640352,0.9403415240073888,0.9328623516066582
40,0.8572553821983375,,0.8654650352119078,0.8727021078664942,0.9369569543922962,0.931896165213192
50,0.8536292695081128,,0.8560458981590819,0.8596656056094398,0.9374379999999999,0.9299637924262582
N. Clases - 1,0.8369508662435121,0.9215014981496678,0.8567792776890627,0.6995208683278575,0.942029,0.9340629999
Dim. máxima,0.8500084064369208,,0.8500084064369208,0.8635320944796133,0.9391309999999999,0.9285127596746956
