,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
1,0.19492259326830788,0.3069948210983803,0.11171995084291347,0.2805337745375444,0.3771132595337052,0.2694988245914069
2,0.2980229520267219,0.5398880493913204,0.31220648504271964,0.4586545335508635,0.6195300061582354,0.457597073806188
3,0.5022683729890738,0.6277010086290494,0.4378411856835185,0.6297836137818399,0.6728522165887727,0.5991799243124224
5,0.6087352577939116,0.7302921457938644,0.6128463479455828,0.6850357726441549,0.7653385677534696,0.6983429530762938
10,0.7055712927350581,0.8627148058603874,0.704612340758255,0.7603892631988873,0.780894752092224,0.724141
20,0.7094713773247979,,0.7069998641636296,0.7447343070993144,0.7793103624271158,0.739086
30,0.7100918679452886,,0.7088548673979431,0.7314754805751591,0.7883503272792551,0.740889
40,0.7097783883214641,,0.7100958486389244,0.7268200593680137,0.800255777165634,0.737278
50,0.7097783883214641,,0.7097783883214641,0.7182652415527457,0.7884012283191794,0.732403
N. Clases - 1,0.7043012466706892,0.8452785485571827,0.707649317210244,0.77369705801461,0.7813952363192855,0.735297
Dim. máxima,0.7097783883214641,,0.7097783883214641,0.7055374568391533,0.7722950202770582,0.738164
